Category,Section,Standard Ref,Assessment Question,Compliance,Notes,Owner,Priority
Annex A Controls,A.4 - Resources for AI systems,A.4.5,"Has the organisation implemented, documented and evidenced its approach to system and computing resources?",Partially Compliant,System and computing resources is partially implemented; coverage or evidence is incomplete.,M. Karim,Low
Annex A Controls,A.4 - Resources for AI systems,A.4.6,"Has the organisation implemented, documented and evidenced its approach to human resources?",Fully Compliant,,R. Hasan,
Annex A Controls,A.5 - Assessing impacts of AI systems,A.5.2,"Has the organisation implemented, documented and evidenced its approach to AI system impact assessment process?",Fully Compliant,,T. Ahmed,
Annex A Controls,A.5 - Assessing impacts of AI systems,A.5.3,"Has the organisation implemented, documented and evidenced its approach to documentation of AI system impact assessments?",Fully Compliant,,M. Karim,
Annex A Controls,A.5 - Assessing impacts of AI systems,A.5.4,"Has the organisation implemented, documented and evidenced its approach to assessing AI system impact on individuals or groups?",Fully Compliant,,N. Islam,
Annex A Controls,A.5 - Assessing impacts of AI systems,A.5.5,"Has the organisation implemented, documented and evidenced its approach to assessing societal impacts of AI systems?",Partially Compliant,Assessing societal impacts of AI systems is partially implemented; coverage or evidence is incomplete.,R. Hasan,High
Annex A Controls,A.6 - AI system life cycle,A.6.1.2,"Has the organisation implemented, documented and evidenced its approach to objectives for responsible development of AI systems?",Fully Compliant,,R. Hasan,
Annex A Controls,A.6 - AI system life cycle,A.6.1.3,"Has the organisation implemented, documented and evidenced its approach to processes for responsible design and development?",Partially Compliant,Processes for responsible design and development is partially implemented; coverage or evidence is incomplete.,AI Governance Team,High
Annex A Controls,A.6 - AI system life cycle,A.6.2.2,"Has the organisation implemented, documented and evidenced its approach to AI system requirements and specification?",Partially Compliant,AI system requirements and specification is partially implemented; coverage or evidence is incomplete.,AI Governance Team,Low
Annex A Controls,A.6 - AI system life cycle,A.6.2.3,"Has the organisation implemented, documented and evidenced its approach to documentation of AI system design and development?",Partially Compliant,Documentation of AI system design and development is partially implemented; coverage or evidence is incomplete.,GRC Office,Low
Annex A Controls,A.6 - AI system life cycle,A.6.2.4,"Has the organisation implemented, documented and evidenced its approach to AI system verification and validation?",Partially Compliant,AI system verification and validation is partially implemented; coverage or evidence is incomplete.,T. Ahmed,High
Annex A Controls,A.6 - AI system life cycle,A.6.2.5,"Has the organisation implemented, documented and evidenced its approach to AI system deployment?",Fully Compliant,,M. Karim,
Annex A Controls,A.6 - AI system life cycle,A.6.2.6,"Has the organisation implemented, documented and evidenced its approach to AI system operation and monitoring?",Fully Compliant,,T. Ahmed,
Annex A Controls,A.6 - AI system life cycle,A.6.2.7,"Has the organisation implemented, documented and evidenced its approach to AI system technical documentation?",Fully Compliant,,A. Rahman,
Annex A Controls,A.6 - AI system life cycle,A.6.2.8,"Has the organisation implemented, documented and evidenced its approach to AI system recording of event logs?",Partially Compliant,AI system recording of event logs is partially implemented; coverage or evidence is incomplete.,M. Karim,Medium
Annex A Controls,A.7 - Data for AI systems,A.7.2,"Has the organisation implemented, documented and evidenced its approach to data for development and enhancement of AI systems?",Fully Compliant,,A. Rahman,
Annex A Controls,A.7 - Data for AI systems,A.7.3,"Has the organisation implemented, documented and evidenced its approach to acquisition of data?",Fully Compliant,,N. Islam,
Annex A Controls,A.7 - Data for AI systems,A.7.4,"Has the organisation implemented, documented and evidenced its approach to quality of data for AI systems?",Not Compliant,Control gap — quality of data for AI systems has not been implemented; risk accepted temporarily pending remediation.,GRC Office,Low
Annex A Controls,A.7 - Data for AI systems,A.7.5,"Has the organisation implemented, documented and evidenced its approach to data provenance?",Not Compliant,Control gap — data provenance has not been implemented; risk accepted temporarily pending remediation.,GRC Office,High
Annex A Controls,A.7 - Data for AI systems,A.7.6,"Has the organisation implemented, documented and evidenced its approach to data preparation?",Not Compliant,Control gap — data preparation has not been implemented; risk accepted temporarily pending remediation.,A. Rahman,Medium
Annex A Controls,A.8 - Information for interested parties,A.8.2,"Has the organisation implemented, documented and evidenced its approach to system documentation and information for users?",Not Compliant,Control gap — system documentation and information for users has not been implemented; risk accepted temporarily pending remediation.,N. Islam,Medium
Annex A Controls,A.8 - Information for interested parties,A.8.3,"Has the organisation implemented, documented and evidenced its approach to external reporting?",Partially Compliant,External reporting is partially implemented; coverage or evidence is incomplete.,N. Islam,High
Annex A Controls,A.8 - Information for interested parties,A.8.4,"Has the organisation implemented, documented and evidenced its approach to communication of incidents?",Partially Compliant,Communication of incidents is partially implemented; coverage or evidence is incomplete.,N. Islam,High
Annex A Controls,A.8 - Information for interested parties,A.8.5,"Has the organisation implemented, documented and evidenced its approach to information for interested parties?",Fully Compliant,,S. Chowdhury,
Annex A Controls,A.9 - Use of AI systems,A.9.2,"Has the organisation implemented, documented and evidenced its approach to processes for responsible use of AI systems?",Fully Compliant,,R. Hasan,
Annex A Controls,A.9 - Use of AI systems,A.9.3,"Has the organisation implemented, documented and evidenced its approach to objectives for responsible use of AI systems?",Fully Compliant,,S. Chowdhury,
Annex A Controls,A.9 - Use of AI systems,A.9.4,"Has the organisation implemented, documented and evidenced its approach to intended use of the AI system?",Fully Compliant,,A. Rahman,
Annex A Controls,A.10 - Third-party and customer relationships,A.10.2,"Has the organisation implemented, documented and evidenced its approach to allocation of responsibilities?",Fully Compliant,,A. Rahman,
Annex A Controls,A.10 - Third-party and customer relationships,A.10.3,"Has the organisation implemented, documented and evidenced its approach to suppliers?",Not Compliant,Control gap — suppliers has not been implemented; risk accepted temporarily pending remediation.,M. Karim,Low
Annex A Controls,A.10 - Third-party and customer relationships,A.10.4,"Has the organisation implemented, documented and evidenced its approach to customers?",Fully Compliant,,GRC Office,
